date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh
2025-02-01,48014.04883711036,48014.04883711036,21475.598451781854,21475.598451781854,186.96936666666673,5831.489510891592,4179.11911817814,20064.38758623661,16252.153944862643,10799.999894762359,10799.999894750152,1713.390175228104,10799.999982412786,1.1368683772161603e-13
2025-02-02,94396.18598714087,94396.18598714087,66639.54358185662,66639.54358185662,86.67216666666653,9250.34811393232,2157.92053229236,24833.218724059872,20114.90716647702,10799.999894750152,10799.999894762905,1200.0,10800.0,1.1368683772161603e-13
2025-02-03,92993.29477194,92993.29477194,66782.22478492488,66782.22478492488,113.15728809523836,6279.379264563644,1891.8457799115317,24833.21323950252,20114.90272394246,10799.999894762905,10799.99989482355,1200.0,10800.0,2.2737367544323206e-13
2025-02-04,93741.6240558891,93741.6240558891,67479.81416670987,67479.81416670987,118.95895448425676,7130.792270407379,893.2724950898922,24730.47656191222,20088.82226703612,10799.99989482355,10736.515170504408,1200.0,10800.0,2.2737367544323206e-13
2025-02-05,91793.64747525356,91793.64747525356,66326.79462089294,66326.79462089294,242.33431904761943,5593.098299007306,952.3627465099424,24657.671123948137,19915.577358497543,10736.515170504408,10799.999894838242,1200.0,10800.0,1.1368683772161603e-13
2025-02-06,92082.99878396011,92082.99878396011,65826.01473805786,65826.01473805786,118.93609741439548,5782.997133219151,1493.0472741920157,24499.122406687875,19844.289149391196,10799.999894838242,10799.999894867111,1200.0,10800.0,1.1368683772161603e-13
2025-02-07,44759.308464687085,44759.308464687085,20379.666598835815,20379.666598835815,303.4621690476187,4487.33499110933,4900.986819215919,20361.942930079967,16493.173773337177,10799.999894867111,10799.999894897774,1200.0012830862793,10800.0,2.2737367544323206e-13
2025-02-08,40526.13950071077,40526.13950071077,19090.220572935294,19090.220572935294,482.10131190476204,2205.4014071959236,3422.658085637401,20077.76101064287,16274.742407527323,10799.999894897774,10786.937685001554,1200.000651517712,10799.999894897774,1.1368683772161603e-13
2025-02-09,86300.16664999607,86300.16664999607,63661.63602775227,63661.63602775227,726.8649499991932,2358.960768707288,598.673551578259,23712.03351626987,19198.05220322682,10786.937685001554,10796.59873494797,1200.0005548731417,10800.0,2.2737367544323206e-13
2025-02-10,87232.98438347797,87232.98438347797,60337.28570261087,60337.28570261087,189.2869785714285,5606.7624870249365,3054.1945057887106,23642.688388542585,19208.011602640137,10796.59873494797,10732.783170591692,1200.0005543970601,10800.0,1.2612133559741778e-13
2025-02-11,85361.70703840176,85361.70703840176,59989.77088332646,59989.77088332646,267.35913095238044,4408.909495342892,1571.9362063396463,22984.88569741865,18557.262363080376,10732.783170591692,10799.99989484584,1200.0005581561252,10800.0,2.2737367544323206e-13
2025-02-12,84752.63401100393,84752.63401100393,59855.330276405744,59855.330276405744,385.8125227922536,3999.3316420257615,1563.896736345378,22811.649543444182,18503.167521352472,10799.99989484584,10771.40946022063,1200.0005525324077,10800.0,2.2737367544323206e-13
2025-02-13,84413.19479766401,84413.19479766401,58238.329850083566,58238.329850083566,327.7783333333331,5612.551470972698,3353.227038394897,23272.752177102604,18827.036572139525,10771.40946022063,10797.956895013505,1200.0,10800.0,2.2737367544323206e-13
