variant,date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh
q2,2025-03-20,70263.12407610197,70263.12407610197,45519.03605885006,45519.03605885006,696.4950428571434,2984.4571921213856,1616.4980619588782,21870.93262976023,17721.230581548032,10799.999894735283,10793.583059799455,1200.0005914619965,10800.0,2.2737367544323206e-13
q2,2025-06-21,41125.621762329145,41125.621762329145,25202.76142131276,25202.76142131276,342.4790999999998,6304.837487207192,11800.890553938036,21198.065374652215,17170.4329534683,10799.999894735283,10799.999894735283,1200.0006881760025,10800.0,1.1368683772161603e-13
q2,2025-09-23,70904.77749596405,70904.77749596405,48325.62821495769,48325.62821495769,921.4625597384526,4041.6332477398273,1493.9634960987944,21589.108529301637,17415.08080077109,10707.60909712119,10787.716994858114,1200.0,10800.0,2.2737367544323206e-13
q2,2025-12-21,101179.80318617763,101179.80318617763,66385.75036794756,66385.75036794756,233.58519523809514,5970.873151332407,1471.4755753303139,25705.05746620686,20771.799678120526,10741.956060315722,10796.73035976798,1200.0,10800.0,1.1368683772161603e-13
q3,2025-03-20,72864.73540971887,67533.29467397725,48567.279838976596,52382.82510259545,1150.2782444444451,2337.2176750440585,131.61784633964925,21113.424904281983,17107.649323910664,10799.999744682951,10793.58290974712,1200.0005914619906,10799.999902847487,2.2737367544323206e-13
q3,2025-06-21,40202.07571071469,39945.98372058047,24486.309112117116,24748.12017825472,344.25325555555503,5554.051853202478,11506.582505899682,20499.27482649406,16604.41260946019,10799.999894735283,10799.999894735283,1200.0006881760025,10800.0,1.1368683772161603e-13
q3,2025-09-23,74565.02339287997,69013.5371904352,48777.036031241645,52088.24489527072,837.7771833837897,3238.6367050831877,396.282308674519,21198.32983560387,17098.550058875902,10707.60909712119,10787.716994858114,1200.0005914619965,10799.999908621008,2.2737367544323206e-13
q3,2025-12-21,101055.7336114845,98947.70092104329,66464.02015015073,67942.61309136181,431.19720000000007,4953.8057351929165,612.0398059125064,24861.032384142432,20085.76167087123,10739.314031622158,10796.730209715648,1200.0005914620017,10800.0,2.2737367544323206e-13
q4_2,2025-03-20,70263.12693614703,70263.12693614703,46439.73557733098,46439.73557733098,664.8015261904767,2945.638647621615,1616.4928900518978,21878.07951599604,17721.244407998704,10799.99989490519,10799.999894858624,1200.0005555475902,10800.0,2.2737367544323206e-13
q4_2,2025-06-21,41283.95371406117,41283.95371406117,21991.48505949702,21991.48505949702,295.7010904761905,5694.0377085419495,12310.615063382269,22317.16648747036,18076.904854857217,10799.999894426288,10799.99989441937,1200.0007639919963,10800.0,1.1368683772161603e-13
q4_2,2025-09-23,70904.77722346337,70904.77722346337,50770.8961701973,50770.8961701973,933.051614983234,4053.1697981397324,1494.0161578214281,21589.106255722785,17415.078956570665,10707.60909429708,10787.716994924624,1200.0,10800.0,2.2737367544323206e-13
q4_2,2025-12-21,101025.65728458854,101025.65728458854,77912.37322316685,77912.37322316685,233.58519523809514,5968.197738738041,1470.5178713340983,24897.397642687672,20114.652639599837,10741.956060416764,10799.999894835848,1200.0,10800.0,1.1368683772161603e-13
q4_3,2025-03-20,72930.98887497117,67461.24957971889,49500.42296930753,53631.45725018208,1118.5847277777784,2226.3540979515974,131.61303955729352,21120.554491502946,17107.649138181834,10799.999894860726,10799.999894789122,1200.0008442579042,10799.999944490208,2.2737367544323206e-13
q4_3,2025-06-21,40360.40762532427,40101.78672624148,21583.44100357224,21786.731980554927,329.15169166666624,4948.2893335501585,12195.886522389017,20800.11664183729,16848.094479868316,10799.999894571118,10799.999894593213,1200.000603419721,10800.0,2.2737367544323206e-13
q4_3,2025-09-23,74582.88846283418,68943.44653217608,51463.57241538471,54846.01007229287,886.7276667184052,3217.443852901415,396.33499068129015,21198.329927186558,17098.55015520811,10707.6091217085,10787.71699483406,1200.0009044154244,10799.999902599864,1.4210854715202004e-13
q4_3,2025-12-21,100942.34742662877,98812.15682915189,78301.20522105365,80413.71586298803,476.46012500000006,4949.517051582683,619.7389035746528,24316.030910420282,19634.45177809238,10731.629490809815,10799.999778974316,1200.0005951561634,10800.0,2.2737367544323206e-13
