variant,date,quantity,10:00-10:10_kwh,12:00-12:10_kwh,14:00-14:10_kwh,16:00-16:10_kwh,18:00-18:10_kwh,20:00-20:10_kwh,day_purchase_kwh,actual_cash_cost_yuan
q2,2025-03-20,initial_plan,0.0,615.0030357142857,0.0,495.02719285714306,713.8812261904761,0.0,70263.12407610197,45519.03605885006
q2,2025-03-20,final_contract,0.0,615.0030357142857,0.0,495.02719285714306,713.8812261904761,0.0,70263.12407610197,45519.03605885006
q2,2025-06-21,initial_plan,0.0,0.0,0.0,258.53964761904774,0.0,0.0,41125.621762329145,25202.76142131276
q2,2025-06-21,final_contract,0.0,0.0,0.0,258.53964761904774,0.0,0.0,41125.621762329145,25202.76142131276
q2,2025-09-23,initial_plan,0.0,505.1635785714284,0.0,575.305161904762,783.8858857142857,0.0,70904.77749596405,48325.62821495769
q2,2025-09-23,final_contract,0.0,505.1635785714284,0.0,575.305161904762,783.8858857142857,0.0,70904.77749596405,48325.62821495769
q2,2025-12-21,initial_plan,0.0,1011.1377690476189,0.0,851.7486023809521,743.1631619047619,0.0,101179.80318617763,66385.75036794756
q2,2025-12-21,final_contract,0.0,1011.1377690476189,0.0,851.7486023809521,743.1631619047619,0.0,101179.80318617763,66385.75036794756
q3,2025-03-20,initial_plan,0.0,627.0189166666667,0.0,671.4298638888893,714.0541166666667,0.0,72864.73540971887,48567.279838976596
q3,2025-03-20,final_contract,-0.0,544.3031277777777,-0.0,536.6474055555557,714.0541166666667,-0.0,67533.29467397725,48567.279838976596
q3,2025-06-21,initial_plan,0.0,0.0,0.0,242.3349166666668,0.0,0.0,40202.07571071469,24486.309112117116
q3,2025-06-21,final_contract,-0.0,-0.0,-0.0,197.48066111111098,-0.0,-0.0,39945.98372058047,24486.309112117116
q3,2025-09-23,initial_plan,0.0,426.5305333333333,0.0,625.1912083333335,777.8049583333334,0.0,74565.02339287997,48777.036031241645
q3,2025-09-23,final_contract,-0.0,-0.0,-0.0,568.9121555555555,777.8432815353393,-0.0,69013.5371904352,48777.036031241645
q3,2025-12-21,initial_plan,0.0,1023.8937555555556,0.0,849.6510361111112,743.1625666666665,0.0,101055.7336114845,66464.02015015073
q3,2025-12-21,final_contract,-0.0,959.2353611111109,-0.0,849.6510361111112,743.1625666666665,-0.0,98947.70092104329,66464.02015015073
q4_2,2025-03-20,initial_plan,0.0,615.0030357142857,0.0,495.02719285714306,0.0,758.9197,70263.12693614703,46439.73557733098
q4_2,2025-03-20,final_contract,0.0,615.0030357142857,0.0,495.02719285714306,0.0,758.9197,70263.12693614703,46439.73557733098
q4_2,2025-06-21,initial_plan,0.0,0.0,0.0,258.53964761904774,513.821757142857,0.0,41283.95371406117,21991.48505949702
q4_2,2025-06-21,final_contract,0.0,0.0,0.0,258.53964761904774,513.821757142857,0.0,41283.95371406117,21991.48505949702
q4_2,2025-09-23,initial_plan,0.0,505.1635785714284,0.0,575.305161904762,0.0,0.0,70904.77722346337,50770.8961701973
q4_2,2025-09-23,final_contract,0.0,505.1635785714284,0.0,575.305161904762,0.0,0.0,70904.77722346337,50770.8961701973
q4_2,2025-12-21,initial_plan,0.0,1011.1377690476189,0.0,851.7486023809521,743.1631619047619,0.0,101025.65728458854,77912.37322316685
q4_2,2025-12-21,final_contract,0.0,1011.1377690476189,0.0,851.7486023809521,743.1631619047619,0.0,101025.65728458854,77912.37322316685
q4_3,2025-03-20,initial_plan,0.0,627.0189166666667,0.0,671.4298638888893,0.0,758.9197,72930.98887497117,49500.42296930753
q4_3,2025-03-20,final_contract,-0.0,544.3031277777777,-0.0,536.6474055555557,-0.0,758.9197,67461.24957971889,49500.42296930753
q4_3,2025-06-21,initial_plan,0.0,0.0,0.0,242.3349166666668,517.1021416666667,0.0,40360.40762532427,21583.44100357224
q4_3,2025-06-21,final_contract,-0.0,-0.0,-0.0,197.48066111111098,513.4212365941497,-0.0,40101.78672624148,21583.44100357224
q4_3,2025-09-23,initial_plan,0.0,426.5305333333333,0.0,625.1912083333335,0.0,0.0,74582.88846283418,51463.57241538471
q4_3,2025-09-23,final_contract,-0.0,-0.0,-0.0,568.9121555555555,-0.0,-0.0,68943.44653217608,51463.57241538471
q4_3,2025-12-21,initial_plan,0.0,1023.8937555555556,0.0,849.6510361111112,743.1625666666665,0.0,100942.34742662877,78301.20522105365
q4_3,2025-12-21,final_contract,-0.0,959.2353611111109,-0.0,849.6510361111112,743.1625666666665,-0.0,98812.15682915189,78301.20522105365
