variant,date,period,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh
q2,2025-03-20,0:00-4:00,0.0,0.0,10799.999894735283,10793.583059799455
q2,2025-03-20,4:00-8:00,5.702933066075072,5574.419015003106,10799.999894735283,10793.583059799455
q2,2025-03-20,8:00-12:00,5948.638788095237,3070.181540476191,10799.999894735283,10793.583059799455
q2,2025-03-20,12:00-16:00,5257.0548326684075,436.6305583845317,10799.999894735283,10793.583059799455
q2,2025-03-20,16:00-20:00,0.0,5463.093607142857,10799.999894735283,10793.583059799455
q2,2025-03-20,20:00-24:00,10659.53607593051,3176.905860541346,10799.999894735283,10793.583059799455
q2,2025-06-21,0:00-4:00,103.91888152579725,2753.7179686232357,10799.999894735283,10799.999894735283
q2,2025-06-21,4:00-8:00,105.03685806054995,5776.715604203464,10799.999894735283,10799.999894735283
q2,2025-06-21,8:00-12:00,6696.939169047618,0.0,10799.999894735283,10799.999894735283
q2,2025-06-21,12:00-16:00,3625.504680952384,0.0,10799.999894735283,10799.999894735283
q2,2025-06-21,16:00-20:00,0.0,5568.021204761905,10799.999894735283,10799.999894735283
q2,2025-06-21,20:00-24:00,10666.665785065867,3071.978175879692,10799.999894735283,10799.999894735283
q2,2025-09-23,0:00-4:00,0.0,0.0,10707.60909712119,10787.716994858114
q2,2025-09-23,4:00-8:00,102.65645399672293,6006.970727051179,10707.60909712119,10787.716994858114
q2,2025-09-23,8:00-12:00,5607.933599999999,2633.0291880952363,10707.60909712119,10787.716994858114
q2,2025-09-23,12:00-16:00,5225.500249309227,135.08141794047296,10707.60909712119,10787.716994858114
q2,2025-09-23,16:00-20:00,0.0,5629.869333333334,10707.60909712119,10787.716994858114
q2,2025-09-23,20:00-24:00,10653.018225995685,3010.130134350871,10707.60909712119,10787.716994858114
q2,2025-12-21,0:00-4:00,0.0,0.0,10741.956060315722,10796.73035976798
q2,2025-12-21,4:00-8:00,897.8248998976514,1508.3319565345812,10741.956060315722,10796.73035976798
q2,2025-12-21,8:00-12:00,5627.491664285713,7806.666666666668,10741.956060315722,10796.73035976798
q2,2025-12-21,12:00-16:00,8516.707826127957,2816.8015872350747,10741.956060315722,10796.73035976798
q2,2025-12-21,16:00-20:00,0.0,5571.590916666666,10741.956060315722,10796.73035976798
q2,2025-12-21,20:00-24:00,10663.033075895537,3068.4085510175373,10741.956060315722,10796.73035976798
q3,2025-03-20,0:00-4:00,0.0,0.0,10799.999744682951,10793.58290974712
q3,2025-03-20,4:00-8:00,36.23317946940814,6014.239708245948,10799.999744682951,10793.58290974712
q3,2025-03-20,8:00-12:00,4585.706083971039,2209.4211416666662,10799.999744682951,10793.58290974712
q3,2025-03-20,12:00-16:00,5775.999738888888,243.98909633964922,10799.999744682951,10793.58290974712
q3,2025-03-20,16:00-20:00,55.94999274695346,5463.093376640855,10799.999744682951,10793.58290974712
q3,2025-03-20,20:00-24:00,10659.535909205697,3176.9060010175417,10799.999744682951,10793.58290974712
q3,2025-06-21,0:00-4:00,93.67981844399361,3151.914830951974,10799.999894735283,10799.999894735283
q3,2025-06-21,4:00-8:00,54.335523717959916,4783.492952002829,10799.999894735283,10799.999894735283
q3,2025-06-21,8:00-12:00,9505.070403754056,0.0,10799.999894735283,10799.999894735283
q3,2025-06-21,12:00-16:00,164.65283311819195,16.96037132465626,10799.999894735283,10799.999894735283
q3,2025-06-21,16:00-20:00,14.870462393990035,5580.21227453913,10799.999894735283,10799.999894735283
q3,2025-06-21,20:00-24:00,10666.665785065867,3071.8321806415993,10799.999894735283,10799.999894735283
q3,2025-09-23,0:00-4:00,0.0,0.0,10707.60909712119,10787.716994858114
q3,2025-09-23,4:00-8:00,149.5102399528322,6313.731406054103,10707.60909712119,10787.716994858114
q3,2025-09-23,8:00-12:00,6007.1984415888,1820.8485833333325,10707.60909712119,10787.716994858114
q3,2025-09-23,12:00-16:00,4388.602928066552,323.97068404535844,10707.60909712119,10787.716994858114
q3,2025-09-23,16:00-20:00,0.0,5629.869251092241,10707.60909712119,10787.716994858114
q3,2025-09-23,20:00-24:00,10653.018225995685,3010.130134350871,10707.60909712119,10787.716994858114
q3,2025-12-21,0:00-4:00,0.0,0.0,10739.314031622158,10796.730209715648
q3,2025-12-21,4:00-8:00,908.913723424933,1470.2623212361377,10739.314031622158,10796.730209715648
q3,2025-12-21,8:00-12:00,5446.350477777776,7067.542408610285,10739.314031622158,10796.730209715648
q3,2025-12-21,12:00-16:00,7832.79506363829,2907.3460096347294,10739.314031622158,10796.730209715648
q3,2025-12-21,16:00-20:00,9.940210130716878,5554.643447039212,10739.314031622158,10796.730209715648
q3,2025-12-21,20:00-24:00,10663.032909170717,3085.967484350866,10739.314031622158,10796.730209715648
q4_2,2025-03-20,0:00-4:00,0.0001167720115012748,0.0,10799.99989490519,10799.999894858624
q4_2,2025-03-20,4:00-8:00,5.703058867545931,5574.431405269011,10799.99989490519,10799.999894858624
q4_2,2025-03-20,8:00-12:00,5948.638788095237,3070.181540476191,10799.99989490519,10799.999894858624
q4_2,2025-03-20,12:00-16:00,5257.071619693434,436.63196224633555,10799.99989490519,10799.999894858624
q4_2,2025-03-20,16:00-20:00,0.0,7037.032573809524,10799.99989490519,10799.999894858624
q4_2,2025-03-20,20:00-24:00,10666.665932567814,1602.9669261976453,10799.99989490519,10799.999894858624
q4_2,2025-06-21,0:00-4:00,354.21674532708266,6053.942801462998,10799.999894426288,10799.99989441937
q4_2,2025-06-21,4:00-8:00,973.8401916684165,3382.9627409870172,10799.999894426288,10799.99989441937
q4_2,2025-06-21,8:00-12:00,6696.939169047618,0.0,10799.999894426288,10799.99989441937
q4_2,2025-06-21,12:00-16:00,3625.504680952384,0.0,10799.999894426288,10799.99989441937
q4_2,2025-06-21,16:00-20:00,0.0,5584.724757142857,10799.999894426288,10799.99989441937
q4_2,2025-06-21,20:00-24:00,10666.66570047486,3055.2745552643464,10799.999894426288,10799.99989441937
q4_2,2025-09-23,0:00-4:00,0.0,0.0,10707.60909429708,10787.716994924624
q4_2,2025-09-23,4:00-8:00,102.6564510308789,6006.970722107147,10707.60909429708,10787.716994924624
q4_2,2025-09-23,8:00-12:00,5607.933599999999,2633.0291880952363,10707.60909429708,10787.716994924624
q4_2,2025-09-23,12:00-16:00,5225.497971999061,135.07957331923916,10707.60909429708,10787.716994924624
q4_2,2025-09-23,16:00-20:00,0.0,6221.7961,10707.60909429708,10787.716994924624
q4_2,2025-09-23,20:00-24:00,10653.018232692843,2418.2033730490425,10707.60909429708,10787.716994924624
q4_2,2025-12-21,0:00-4:00,64.49326620359595,0.0,10741.956060416764,10799.999894835848
q4_2,2025-12-21,4:00-8:00,0.0,833.3333333333333,10741.956060416764,10799.999894835848
