slot,natural_interval,input_time_label,price_yuan_per_kwh,load_kw,pv_kw,plan_purchase_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,pv_used_kwh,pv_curtailed_kwh,cost_yuan
1,00:00-00:10,00:10:00,0.4248,3439.8466,0.0,1406.6410999999998,833.3333333333333,0.0,6000.0,6750.0,0.0,0.0,597.5411392799999
2,00:10-00:20,00:20:00,0.4245,3437.9792,0.0,1406.3298666666665,833.3333333333333,0.0,6750.0,7500.0,0.0,0.0,596.9870283999999
3,00:20-00:30,00:30:00,0.4269,3444.3031,0.0,1407.38385,833.3333333333333,0.0,7500.0,8250.0,0.0,0.0,600.812165565
4,00:30-00:40,00:40:00,0.4272,3454.4437,0.0,1409.07395,833.3333333333333,0.0,8250.0,9000.0,0.0,0.0,601.9563914400001
5,00:40-00:50,00:50:00,0.4271,3458.8273,0.0,1409.8045499999998,833.3333333333333,0.0,9000.0,9750.0,0.0,0.0,602.127523305
6,00:50-01:00,01:00:00,0.4285,3459.8401,0.0,576.6400166666666,0.0,0.0,9750.0,9750.0,0.0,0.0,247.09024714166665
7,01:00-01:10,01:10:00,0.4311,3467.1582,0.0,577.8597,0.0,0.0,9750.0,9750.0,0.0,0.0,249.11531666999997
8,01:10-01:20,01:20:00,0.4302,3467.9632,0.0,577.9938666666667,0.0,0.0,9750.0,9750.0,0.0,0.0,248.65296144
9,01:20-01:30,01:30:00,0.4279,3466.9683,0.0,911.1613833333333,333.3333333333333,0.0,9750.0,10050.0,0.0,0.0,389.8859559283333
10,01:30-01:40,01:40:00,0.4312,3482.4927,0.0,580.41545,0.0,0.0,10050.0,10050.0,0.0,0.0,250.27514204
11,01:40-01:50,01:50:00,0.4333,3495.0841,0.0,582.5140166666666,0.0,0.0,10050.0,10050.0,0.0,0.0,252.40332342166667
12,01:50-02:00,02:00:00,0.4311,3498.4443,0.0,583.0740499999999,0.0,0.0,10050.0,10050.0,0.0,0.0,251.36322295499997
13,02:00-02:10,02:10:00,0.4293,3505.2295,0.0,584.2049166666666,0.0,0.0,10050.0,10050.0,0.0,0.0,250.79917072499998
14,02:10-02:20,02:20:00,0.4324,3512.6387,0.0,585.4397833333333,0.0,0.0,10050.0,10050.0,0.0,0.0,253.1441623133333
15,02:20-02:30,02:30:00,0.4367,3516.8685,0.0,586.1447499999999,0.0,0.0,10050.0,10050.0,0.0,0.0,255.96941232499995
16,02:30-02:40,02:40:00,0.4348,3517.9246,0.0,586.3207666666666,0.0,0.0,10050.0,10050.0,0.0,0.0,254.93226934666666
17,02:40-02:50,02:50:00,0.4335,3518.5518,0.0,586.4253,0.0,0.0,10050.0,10050.0,0.0,0.0,254.21536755
18,02:50-03:00,03:00:00,0.4357,3521.0976,0.0,586.8496,0.0,0.0,10050.0,10050.0,0.0,0.0,255.69037072
19,03:00-03:10,03:10:00,0.4374,3526.9261,0.0,587.8210166666667,0.0,0.0,10050.0,10050.0,0.0,0.0,257.11291269
20,03:10-03:20,03:20:00,0.4371,3537.2854,0.0,589.5475666666666,0.0,0.0,10050.0,10050.0,0.0,0.0,257.69124138999996
21,03:20-03:30,03:30:00,0.4356,3544.8808,0.0,590.8134666666666,0.0,0.0,10050.0,10050.0,0.0,0.0,257.35834608
22,03:30-03:40,03:40:00,0.4353,3541.2787,0.0,590.2131166666666,0.0,0.0,10050.0,10050.0,0.0,0.0,256.91976968499995
23,03:40-03:50,03:50:00,0.436,3546.3976,0.0,591.0662666666666,0.0,0.0,10050.0,10050.0,0.0,0.0,257.70489226666666
24,03:50-04:00,04:00:00,0.4378,3560.207,0.0,593.3678333333332,0.0,0.0,10050.0,10050.0,0.0,0.0,259.7764374333333
25,04:00-04:10,04:10:00,0.4401,3561.9581,0.0,593.6596833333333,0.0,0.0,10050.0,10050.0,0.0,0.0,261.269626635
26,04:10-04:20,04:20:00,0.4389,3556.7183,0.0,592.7863833333333,0.0,0.0,10050.0,10050.0,0.0,0.0,260.173943645
27,04:20-04:30,04:30:00,0.4364,3560.0272,0.0,593.3378666666666,0.0,0.0,10050.0,10050.0,0.0,0.0,258.93264501333334
28,04:30-04:40,04:40:00,0.4393,3580.654,0.5994,596.6757666666666,0.0,0.0,10050.0,10050.0,0.0999,0.0,262.11966429666666
29,04:40-04:50,04:50:00,0.4422,3586.916,0.2345,597.78025,0.0,0.0,10050.0,10050.0,0.03908333333333333,0.0,264.33842655
30,04:50-05:00,05:00:00,0.4395,3571.2635,0.2885,595.1624999999999,0.0,0.0,10050.0,10050.0,0.048083333333333325,0.0,261.57391874999996
31,05:00-05:10,05:10:00,0.4333,3562.3171,18.6781,590.6065,0.0,0.0,10050.0,10050.0,3.1130166666666668,0.0,255.90979645000002
32,05:10-05:20,05:20:00,0.4439,3591.3809,54.4698,589.4851833333333,0.0,0.0,10050.0,10050.0,9.078299999999999,0.0,261.6724728816667
33,05:20-05:30,05:30:00,0.4301,3579.7045,108.9718,578.4554499999999,0.0,0.0,10050.0,10050.0,18.161966666666665,0.0,248.79368904499995
34,05:30-05:40,05:40:00,0.3713,3486.119,184.1603,1383.659783333333,833.3333333333333,0.0,10050.0,10800.0,30.693383333333333,0.0,513.7528775516666
35,05:40-05:50,05:50:00,0.5708,3823.8994,277.0582,591.1401999999999,0.0,0.0,10800.0,10800.0,46.17636666666667,0.0,337.42282615999994
36,05:50-06:00,06:00:00,0.9099,4398.0727,388.5494,0.0,0.0,668.2538833333332,10800.0,10057.495685185186,64.75823333333332,0.0,0.0
37,06:00-06:10,06:10:00,0.9368,4454.0123,521.2803,0.0,0.0,655.4553333333333,10057.495685185186,9329.211981481481,86.88005,0.0,0.0
38,06:10-06:20,06:20:00,0.8758,4371.7919,672.7677,0.0,0.0,616.5040333333334,9329.211981481481,8644.2075,112.12795,0.0,0.0
39,06:20-06:30,06:30:00,0.8759,4392.953,844.2261,0.0,0.0,591.4544833333334,8644.2075,7987.035851851852,140.70434999999998,0.0,0.0
40,06:30-06:40,06:40:00,0.8601,4384.5956,1039.6744,0.0,0.0,557.4868666666666,7987.035851851852,7367.606000000001,173.27906666666667,0.0,0.0
41,06:40-06:50,06:50:00,0.8442,4434.7757,1259.3375,0.0,0.0,529.2397,7367.606000000001,6779.561888888889,209.88958333333335,0.0,0.0
42,06:50-07:00,07:00:00,0.8334,4523.4561,1508.6318,0.0,0.0,502.4707166666667,6779.561888888889,6221.261092592593,251.43863333333334,0.0,0.0
43,07:00-07:10,07:10:00,0.8092,4524.0721,1791.4107,0.0,0.0,455.4435666666667,6221.261092592593,5715.212685185185,298.56845,0.0,0.0
44,07:10-07:20,07:20:00,0.7972,4545.8867,2085.4865,0.0,0.0,410.0667,5715.212685185185,5259.583018518519,347.5810833333333,0.0,0.0
45,07:20-07:30,07:30:00,0.7644,4523.2418,2381.2611,0.0,0.0,356.99678333333327,5259.583018518519,4862.919925925926,396.87685,0.0,0.0
46,07:30-07:40,07:40:00,0.6899,4383.3566,2683.1752,0.003542477898717326,0.0,283.36002418876797,4862.919925925926,4548.075454605072,447.1958666666667,0.0,0.002443955502325083
47,07:40-07:50,07:50:00,0.86,4910.4599,2986.3552,0.0,0.0,320.68411666666657,4548.075454605072,4191.759769419887,497.72586666666666,0.0,0.0
48,07:50-08:00,08:00:00,1.1617,5799.7327,3289.204,0.0,0.0,418.42144999999994,4191.759769419887,3726.8470471976643,548.2006666666666,0.0,0.0
49,08:00-08:10,08:10:00,1.1683,5884.826,3593.3613,0.0,0.0,381.91078333333326,3726.8470471976643,3302.5017323828497,598.89355,0.0,0.0
50,08:10-08:20,08:20:00,1.0956,5748.0713,3890.7332,0.0,0.0,309.55634999999995,3302.5017323828497,2958.5502323828496,648.4555333333333,0.0,0.0
51,08:20-08:30,08:30:00,1.0849,5769.0581,4181.3417,0.0,0.0,264.61940000000004,2958.5502323828496,2664.528676827294,696.8902833333333,0.0,0.0
52,08:30-08:40,08:40:00,1.061,5754.2105,4471.7657,0.0,0.0,213.74080000000004,2664.528676827294,2427.038899049516,745.2942833333333,0.0,0.0
53,08:40-08:50,08:50:00,1.043,5824.1807,4752.8272,0.0,0.0,178.55891666666673,2427.038899049516,2228.6401027532197,792.1378666666666,0.0,0.0
54,08:50-09:00,09:00:00,1.036,5954.2601,5021.9074,0.0,0.0,155.39211666666677,2228.6401027532197,2055.982195345812,836.9845666666666,0.0,0.0
55,09:00-09:10,09:10:00,1.0147,5958.9696,5285.4126,0.0,0.0,112.25950000000012,2055.982195345812,1931.2494175680342,880.9020999999999,0.0,0.0
56,09:10-09:20,09:20:00,0.9922,5929.5554,5543.1742,0.0,0.0,64.3968666666666,1931.2494175680342,1859.6973434939603,923.8623666666667,0.0,0.0
57,09:20-09:30,09:30:00,0.97,5923.7828,5788.4093,0.0,0.0,22.56224999999995,1859.6973434939603,1834.6281768272936,964.7348833333333,0.0,0.0
